0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:15:00 +0700] "GET /QLBNDC/resource/Home/css/style.css HTTP/1.1" 200 673
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:15:00 +0700] "GET /QLBNDC/asset/logo.png HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:15:00 +0700] "GET /QLBNDC/resource/Home/img/slide1.jpg HTTP/1.1" 200 508373
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:15:00 +0700] "GET /QLBNDC/resource/Home/img/slide2.jpg HTTP/1.1" 200 474320
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:15:00 +0700] "GET /QLBNDC/resource/Home/img/slide3.jpg HTTP/1.1" 200 97051
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:15:00 +0700] "GET /QLBNDC/resource/Home/img/6-lon-nuoc-ngot-7-up-vi-chanh-330ml-202006131621577309.jpg HTTP/1.1" 200 272210
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:15:00 +0700] "GET /QLBNDC/resource/Home/img/162427567193110150521-LON-Loc-6-lon-nuoc-khung-calo-chanh-330ml.jpg HTTP/1.1" 200 26907
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:15:00 +0700] "GET /QLBNDC/resource/Home/img/lavie-1500ml.png HTTP/1.1" 200 131082
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:15:00 +0700] "GET /QLBNDC/resource/Home/img/8934822101336.jpg HTTP/1.1" 200 285755
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:15:00 +0700] "GET /QLBNDC/resource/Home/img/nuoc-ngot-co-gas-7up-pet-15l-2-org.jpg HTTP/1.1" 200 114859
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:15:00 +0700] "GET /QLBNDC/resource/Home/img/bia-tiger-330ml-202012151339189979.jpg HTTP/1.1" 200 80577
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:15:00 +0700] "GET /QLBNDC/resource/Home/img/806850103620_nuoc-viva.png HTTP/1.1" 200 359800
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:15:00 +0700] "GET /QLBNDC/resource/Home/img/sua-bich-vinamilk-co-duong-b_eeaab361818e4c66ac34ee6c4e03193f.png HTTP/1.1" 200 534294
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:15:00 +0700] "GET /QLBNDC/resource/Home/img/nuoc-khoang-lavie-chai-750ml.png HTTP/1.1" 200 156071
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:15:00 +0700] "GET /QLBNDC/resource/Home/img/FinoPackshot_Coduong-1_540x440_acf_cropped.png HTTP/1.1" 200 122424
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:15:02 +0700] "GET /QLBNDC/Login/Login.htm HTTP/1.1" 200 4243
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:15:07 +0700] "POST /QLBNDC/Login/Sig_in.htm HTTP/1.1" 200 4295
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:15:15 +0700] "POST /QLBNDC/Login/Sig_in.htm HTTP/1.1" 200 4295
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:15:28 +0700] "GET /QLBNDC/Login/QuenMK.htm HTTP/1.1" 200 3886
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:15:28 +0700] "GET /QLBNDC/asset/logo.png HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:15:34 +0700] "GET /QLBNDC/Home/index.htm HTTP/1.1" 200 26389
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:15:34 +0700] "GET /QLBNDC/asset/logo.png HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:15:36 +0700] "GET /QLBNDC/Login/Login.htm HTTP/1.1" 200 4243
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:15:38 +0700] "GET /QLBNDC/Home/index.htm HTTP/1.1" 200 26389
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:15:38 +0700] "GET /QLBNDC/asset/logo.png HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:15:55 +0700] "GET /QLBNDC/Login/Login.htm HTTP/1.1" 200 4243
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:16:03 +0700] "POST /QLBNDC/Login/Sig_in.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:16:03 +0700] "GET /QLBNDC/QuanLy/TrangChu.htm HTTP/1.1" 200 11789
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:16:03 +0700] "GET /QLBNDC/QuanLy/DMSans-Regular.ttf HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:16:11 +0700] "GET /QLBNDC/QuanLy/SanPham.htm HTTP/1.1" 200 15476
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:16:11 +0700] "GET /QLBNDC/QuanLy/DMSans-Regular.ttf HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:16:16 +0700] "GET /QLBNDC/QuanLy/SanPham.htm?searchInput=S%E1%BB%AFa+chua+&btnsearch= HTTP/1.1" 200 10419
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:16:16 +0700] "GET /QLBNDC/QuanLy/DMSans-Regular.ttf HTTP/1.1" 404 791
